scientific_name;mentions;article_cnt;Kingdom;Class;Order;Family;Genus;Species;country;iso3
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Korea, Republic of;KOR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Kuwait;KWT
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Madagascar;MDG
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Nepal;NPL
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Netherlands;NLD
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Oman;OMN
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Pakistan;PAK
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Russian Federation;RUS
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Rwanda;RWA
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Switzerland;CHE
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Syrian Arab Republic;SYR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Thailand;THA
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Turkey;TUR
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Turkmenistan;TKM
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Uganda;UGA
Acinonyx jubatus;1;50;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;Uzbekistan;UZB
Acipenser brevirostrum;10;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;United States;USA
Acipenser brevirostrum;5;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;Canada;CAN
Acipenser brevirostrum;2;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;China;CHN
Acipenser brevirostrum;2;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;Jersey;JEY
Acipenser brevirostrum;1;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;Brazil;BRA
Acipenser brevirostrum;1;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;Puerto Rico;PRI
Acipenser brevirostrum;1;26;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;brevirostrum;Russian Federation;RUS
Acipenser sturio;19;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;United States;USA
Acipenser sturio;9;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;United Kingdom;GBR
Acipenser sturio;8;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Canada;CAN
Acipenser sturio;6;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;France;FRA
Acipenser sturio;6;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Russian Federation;RUS
Acipenser sturio;5;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Jersey;JEY
Acipenser sturio;4;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;China;CHN
Acipenser sturio;4;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Germany;DEU
Acipenser sturio;4;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Iran, Islamic Republic of;IRN
Acipenser sturio;4;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Romania;ROU
Acipenser sturio;3;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Bulgaria;BGR
Acipenser sturio;3;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Netherlands;NLD
Acipenser sturio;3;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Spain;ESP
Acipenser sturio;2;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Georgia;GEO
Acipenser sturio;2;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Japan;JPN
Acipenser sturio;2;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Poland;POL
Acipenser sturio;2;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Serbia;SRB
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Azerbaijan;AZE
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Bahamas;BHS
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Congo;COG
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Croatia;HRV
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Czechia;CZE
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Estonia;EST
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Finland;FIN
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Greece;GRC
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Hungary;HUN
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;India;IND
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Indonesia;IDN
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Israel;ISR
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Italy;ITA
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Kazakhstan;KAZ
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Latvia;LVA
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Maldives;MDV
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Norway;NOR
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Sweden;SWE
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Thailand;THA
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Turkmenistan;TKM
Acipenser sturio;1;55;Animalia;Actinopteri;Acipenseriformes;Acipenseridae;Acipenser;sturio;Ukraine;UKR
Acrantophis dumerili;1;6;Animalia;Reptilia;Serpentes;Boidae;Acrantophis;dumerili;Honduras;HND
Acrantophis dumerili;1;6;Animalia;Reptilia;Serpentes;Boidae;Acrantophis;dumerili;Madagascar;MDG
Acrantophis dumerili;1;6;Animalia;Reptilia;Serpentes;Boidae;Acrantophis;dumerili;Malaysia;MYS
Acrantophis dumerili;1;6;Animalia;Reptilia;Serpentes;Boidae;Acrantophis;dumerili;Philippines;PHL
Acrantophis dumerili;1;6;Animalia;Reptilia;Serpentes;Boidae;Acrantophis;dumerili;Viet Nam;VNM
