scientific_name;Countries;Countries
Canis lupus;Norfolk Island;2
Canis lupus;Norway;2
Canis lupus;Philippines;2
Canis lupus;South Korea;2
Canis lupus;Vatican;2
Canis lupus;Cameroon;1
Canis lupus;Georgia;1
Canis lupus;Iceland;1
Canis lupus;Madagascar;1
Canis lupus;Nepal;1
Canis lupus;Vietnam;1
Caperea marginata;Australia;7
Caperea marginata;New Zealand;6
Caperea marginata;Japan;4
Caperea marginata;Italy;3
Caperea marginata;Argentina;1
Caperea marginata;Belize;1
Caperea marginata;Cyprus;1
Caperea marginata;Iceland;1
Caperea marginata;India;1
Caperea marginata;Indonesia;1
Caperea marginata;Norway;1
Caperea marginata;Papua New Guinea;1
Caperea marginata;Peru;1
Ceratotherium simum;Sudan;84
Ceratotherium simum;Kenya;73
Ceratotherium simum;South Africa;36
Ceratotherium simum;Botswana;10
Ceratotherium simum;Italy;10
Ceratotherium simum;China;9
Ceratotherium simum;Germany;9
Ceratotherium simum;Uganda;7
Ceratotherium simum;Vietnam;7
Ceratotherium simum;Indonesia;6
Ceratotherium simum;Namibia;6
Ceratotherium simum;Australia;4
Ceratotherium simum;Chad;4
Ceratotherium simum;India;4
Ceratotherium simum;Ireland;4
Ceratotherium simum;Zimbabwe;4
Ceratotherium simum;Nepal;3
Ceratotherium simum;Tanzania;3
Ceratotherium simum;Colombia;2
Ceratotherium simum;Czech Republic;2
Ceratotherium simum;Israel;2
Ceratotherium simum;Japan;2
Ceratotherium simum;Seychelles;2
Ceratotherium simum;South Korea;2
Ceratotherium simum;Thailand;2
Ceratotherium simum;Zambia;2
Ceratotherium simum;Argentina;1
Ceratotherium simum;Belgium;1
Ceratotherium simum;Cambodia;1
Ceratotherium simum;Canada;1
Ceratotherium simum;Central African Republic;1
Ceratotherium simum;Democratic Republic of the Congo;1
Ceratotherium simum;France;1
Ceratotherium simum;Malawi;1
Ceratotherium simum;Malaysia;1
Ceratotherium simum;Mexico;1
Ceratotherium simum;Mozambique;1
Ceratotherium simum;Rwanda;1
Ceratotherium simum;Singapore;1
Ceratotherium simum;Swaziland;1
Ceratotherium simum;Switzerland;1
Ceratotherium simum;Yemen;1
Ceratotherium simum simum;Sudan;50
Ceratotherium simum simum;Kenya;17
Ceratotherium simum simum;South Africa;16
Ceratotherium simum simum;Namibia;9
Ceratotherium simum simum;China;6
