scientific_name;iso3;iso3
Amazona barbadensis;BRA;1
Amazona barbadensis;CHE;1
Amazona barbadensis;GBR;1
Amazona barbadensis;PRI;1
Amazona brasiliensis;TUR;1
Amazona brasiliensis;USA;1
Amazona finschi;MEX;2
Amazona finschi;USA;2
Amazona finschi;IND;1
Amazona guildingii;AUS;2
Amazona guildingii;DEU;2
Amazona guildingii;BEL;1
Amazona guildingii;BRA;1
Amazona guildingii;BRB;1
Amazona guildingii;CHN;1
Amazona guildingii;CUB;1
Amazona guildingii;GBR;1
Amazona guildingii;GRC;1
Amazona guildingii;ITA;1
Amazona guildingii;MEX;1
Amazona guildingii;MYS;1
Amazona guildingii;PLW;1
Amazona guildingii;SVN;1
Amazona guildingii;VNM;1
Amazona imperialis;DEU;2
Amazona imperialis;USA;2
Amazona imperialis;AUS;1
Amazona imperialis;BRA;1
Amazona imperialis;CHE;1
Amazona imperialis;CUB;1
Amazona imperialis;DNK;1
Amazona imperialis;ESP;1
Amazona imperialis;GBR;1
Amazona imperialis;ISR;1
Amazona imperialis;MEX;1
Amazona imperialis;NLD;1
Amazona imperialis;PRI;1
Amazona imperialis;ZAF;1
Amazona leucocephala;IND;3
Amazona leucocephala;USA;2
Amazona leucocephala;AUS;1
Amazona leucocephala;BRA;1
Amazona leucocephala;BTN;1
Amazona leucocephala;CAN;1
Amazona leucocephala;ESP;1
Amazona leucocephala;GRC;1
Amazona leucocephala;IRN;1
Amazona leucocephala;JOR;1
Amazona leucocephala;MEX;1
Amazona leucocephala;MMR;1
Amazona leucocephala;PER;1
Amazona leucocephala;PRI;1
Amazona leucocephala;TZA;1
Amazona leucocephala;ZAF;1
Amazona oratrix;BLZ;4
Amazona oratrix;USA;4
Amazona oratrix;MEX;3
Amazona oratrix;AUS;2
Amazona oratrix;CAN;2
Amazona oratrix;NZL;2
Amazona oratrix;CHN;1
Amazona oratrix;GBR;1
Amazona oratrix;TUR;1
Amazona oratrix;TWN;1
Amazona pretrei;BRA;4
Amazona pretrei;CHN;3
Amazona pretrei;IND;3
Amazona pretrei;AUS;2
Amazona pretrei;CAN;2
Amazona pretrei;USA;2
Amazona pretrei;CRI;1
Amazona pretrei;DEU;1
Amazona pretrei;FRA;1
Amazona pretrei;GHA;1
Amazona pretrei;IDN;1
Amazona pretrei;JPN;1
Amazona pretrei;KAZ;1
Amazona pretrei;MEX;1
Amazona pretrei;MYS;1
Amazona pretrei;NZL;1
Amazona pretrei;POL;1
Amazona pretrei;RUS;1
Amazona pretrei;ZAF;1
Amazona rhodocorytha;BRA;1
Amazona rhodocorytha;BRN;1
Amazona rhodocorytha;IDN;1
Amazona rhodocorytha;ISL;1
Amazona rhodocorytha;KEN;1
Amazona rhodocorytha;LBN;1
Amazona rhodocorytha;MYS;1
Amazona rhodocorytha;PER;1
Amazona rhodocorytha;TZA;1
Amazona rhodocorytha;USA;1
Amazona versicolor;IDN;1
Amazona versicolor;PHL;1
Amazona vinacea;BRA;2
Amazona vinacea;AUT;1
Amazona vinacea;DEU;1
Amazona vinacea;ESP;1
Amazona viridigenalis;MEX;13
Amazona viridigenalis;USA;6
Amazona viridigenalis;AUS;3
Amazona viridigenalis;CHN;2
Amazona viridigenalis;COL;2
Amazona viridigenalis;PER;2
Amazona viridigenalis;BRA;1
Amazona viridigenalis;CAN;1
Amazona viridigenalis;GBR;1
Amazona viridigenalis;IND;1
Amazona viridigenalis;KEN;1
Amazona viridigenalis;MDG;1
Amazona viridigenalis;PRI;1
Amazona viridigenalis;TZA;1
Amazona vittata;PRI;11
Amazona vittata;USA;11
Amazona vittata;AUS;2
Amazona vittata;PER;2
Amazona vittata;BOL;1
Amazona vittata;CAN;1
Amazona vittata;CHE;1
Amazona vittata;CRI;1
Amazona vittata;CUB;1
Amazona vittata;GBR;1
Amazona vittata;GRC;1
Amazona vittata;IDN;1
Amazona vittata;JPN;1
Amazona vittata;MEX;1
Amazona vittata;NZL;1
Amazona vittata;ROU;1
Amazona vittata;SAU;1
Amazona vittata;ZAF;1
Anas aucklandica;NZL;12
Anas aucklandica;CAN;1
Anas aucklandica;GBR;1
Anas aucklandica;JPN;1
Anas aucklandica;RUS;1
Anas aucklandica;TWN;1
Anas aucklandica;USA;1
Anas laysanensis;USA;7
Anas laysanensis;GBR;2
Anas laysanensis;AUS;1
Anas laysanensis;CAN;1
Anas laysanensis;CHE;1
Anas laysanensis;COL;1
Anas laysanensis;CUB;1
Anas laysanensis;FRA;1
Anas laysanensis;IDN;1
Anas laysanensis;JPN;1
Anas laysanensis;PER;1
Anas laysanensis;TZA;1
Anas laysanensis;VNM;1
Anas nesiotis;NZL;3
Anas nesiotis;CAN;2
Anas nesiotis;AUS;1
Anas nesiotis;CHN;1
Anas nesiotis;PRK;1
Anas nesiotis;RUS;1
Anas nesiotis;USA;1
Andrias davidianus;CHN;25
Andrias davidianus;GBR;11
Andrias davidianus;USA;8
Andrias davidianus;JPN;7
Andrias davidianus;DEU;5
Andrias davidianus;VNM;5
Andrias davidianus;CMR;3
Andrias davidianus;FRA;3
Andrias davidianus;LAO;3
Andrias davidianus;CAN;2
Andrias davidianus;KHM;2
Andrias davidianus;MDG;2
Andrias davidianus;MEX;2
Andrias davidianus;PER;2
Andrias davidianus;ARG;1
Andrias davidianus;AUS;1
Andrias davidianus;BOL;1
Andrias davidianus;BRA;1
Andrias davidianus;CIV;1
Andrias davidianus;COG;1
Andrias davidianus;CZE;1
Andrias davidianus;GAB;1
Andrias davidianus;GHA;1
Andrias davidianus;IDN;1
Andrias davidianus;IND;1
Andrias davidianus;ISL;1
Andrias davidianus;KEN;1
Andrias davidianus;MMR;1
Andrias davidianus;MYS;1
Andrias davidianus;NPL;1
Andrias davidianus;RUS;1
Andrias davidianus;THA;1
Andrias davidianus;TWN;1
Andrias davidianus;TZA;1
Andrias davidianus;ZAF;1
Andrias japonicus;JPN;3
Andrias japonicus;USA;3
Andrias japonicus;CHN;1
Andrias japonicus;COG;1
Andrias japonicus;DEU;1
Andrias japonicus;EGY;1
Andrias japonicus;IRN;1
Andrias japonicus;ITA;1
Andrias japonicus;NLD;1
Anodorhynchus glaucus;BRA;15
Anodorhynchus glaucus;DEU;4
Anodorhynchus glaucus;SGP;4
Anodorhynchus glaucus;ARG;3
Anodorhynchus glaucus;BOL;2
Anodorhynchus glaucus;COL;2
Anodorhynchus glaucus;PER;2
Anodorhynchus glaucus;RUS;2
Anodorhynchus glaucus;USA;2
Anodorhynchus glaucus;AUT;1
