scientific_name;Countries;Countries
Aloe polyphylla;thailand;1
Aloe polyphylla;united states;1
Alouatta palliata;costa rica;14
Alouatta palliata;mexico;6
Alouatta palliata;panama;5
Alouatta palliata;ecuador;3
Alouatta palliata;nicaragua;3
Alouatta palliata;canada;2
Alouatta palliata;colombia;2
Alouatta palliata;guatemala;2
Alouatta palliata;indonesia;2
Alouatta palliata;new zealand;2
Alouatta palliata;peru;2
Alouatta palliata;united states;2
Alouatta palliata;australia;1
Alouatta palliata;belize;1
Alouatta palliata;botswana;1
Alouatta palliata;brazil;1
Alouatta palliata;bulgaria;1
Alouatta palliata;china;1
Alouatta palliata;el salvador;1
Alouatta palliata;france;1
Alouatta palliata;greece;1
Alouatta palliata;honduras;1
Alouatta palliata;india;1
Alouatta palliata;jamaica;1
Alouatta palliata;kenya;1
Alouatta palliata;madagascar;1
Alouatta palliata;malaysia;1
Alouatta palliata;norway;1
Alouatta palliata;south africa;1
Alouatta palliata;spain;1
Alouatta palliata;sri lanka;1
Alouatta palliata;tanzania;1
Alouatta palliata;thailand;1
Alouatta palliata;u.s. virgin islands;1
Alouatta palliata;vietnam;1
Alouatta pigra;mexico;3
Alouatta pigra;guatemala;2
Alouatta pigra;australia;1
Alouatta pigra;bahamas;1
Alouatta pigra;belize;1
Alouatta pigra;brazil;1
Alouatta pigra;colombia;1
Alouatta pigra;greenland;1
Alouatta pigra;guinea;1
Alouatta pigra;indonesia;1
Alouatta pigra;japan;1
Alouatta pigra;macao;1
Alouatta pigra;madagascar;1
Alouatta pigra;new caledonia;1
Alouatta pigra;new zealand;1
Alouatta pigra;nicaragua;1
Alouatta pigra;papua new guinea;1
Alouatta pigra;philippines;1
Alouatta pigra;south africa;1
Alouatta pigra;sri lanka;1
Altiphrynoides osgoodi;united states;1
Amazona arausiaca;dominica;2
Amazona arausiaca;belize;1
Amazona arausiaca;costa rica;1
Amazona arausiaca;japan;1
Amazona arausiaca;martinique;1
Amazona arausiaca;u.s. virgin islands;1
Amazona auropalliata;australia;3
Amazona auropalliata;costa rica;3
Amazona auropalliata;mexico;3
Amazona auropalliata;singapore;3
Amazona auropalliata;united states;3
Amazona auropalliata;el salvador;2
Amazona auropalliata;guatemala;2
Amazona auropalliata;honduras;2
Amazona auropalliata;india;2
Amazona auropalliata;macao;2
Amazona auropalliata;nicaragua;2
Amazona auropalliata;panama;2
Amazona auropalliata;u.s. virgin islands;2
Amazona auropalliata;belize;1
Amazona auropalliata;cayman islands;1
Amazona auropalliata;central african republic;1
Amazona auropalliata;china;1
Amazona auropalliata;equatorial guinea;1
Amazona auropalliata;guinea;1
Amazona auropalliata;guinea-bissau;1
Amazona auropalliata;indonesia;1
Amazona auropalliata;jamaica;1
Amazona auropalliata;jersey;1
Amazona auropalliata;madagascar;1
Amazona auropalliata;malaysia;1
Amazona auropalliata;netherlands;1
Amazona auropalliata;netherlands antilles;1
Amazona auropalliata;papua new guinea;1
Amazona auropalliata;thailand;1
Amazona auropalliata;turkey;1
Amazona auropalliata;united kingdom;1
Amazona auropalliata;venezuela;1
Amazona barbadensis;venezuela;4
Amazona barbadensis;argentina;3
Amazona barbadensis;bonaire, saint eustatius and saba ;2
Amazona barbadensis;bulgaria;2
Amazona barbadensis;colombia;2
Amazona barbadensis;costa rica;2
Amazona barbadensis;ghana;2
Amazona barbadensis;indonesia;2
Amazona barbadensis;madagascar;2
Amazona barbadensis;aruba;1
Amazona barbadensis;brazil;1
Amazona barbadensis;curacao;1
Amazona barbadensis;ecuador;1
Amazona barbadensis;guyana;1
Amazona barbadensis;mozambique;1
Amazona barbadensis;panama;1
Amazona barbadensis;puerto rico;1
Amazona barbadensis;switzerland;1
Amazona barbadensis;trinidad and tobago;1
Amazona barbadensis;u.s. virgin islands;1
Amazona brasiliensis;turkey;1
Amazona brasiliensis;u.s. virgin islands;1
Amazona brasiliensis;united states;1
Amazona brasiliensis;united states minor outlying islands;1
Amazona finschi;mexico;2
Amazona finschi;u.s. virgin islands;2
Amazona finschi;central african republic;1
Amazona finschi;india;1
Amazona finschi;united states;1
Amazona guildingii;saint vincent and the grenadines;3
Amazona guildingii;australia;2
Amazona guildingii;dominica;2
Amazona guildingii;germany;2
Amazona guildingii;grenada;2
Amazona guildingii;trinidad and tobago;2
Amazona guildingii;united states;2
Amazona guildingii;barbados;1
Amazona guildingii;belgium;1
Amazona guildingii;brazil;1
Amazona guildingii;china;1
Amazona guildingii;cuba;1
Amazona guildingii;greece;1
Amazona guildingii;guyana;1
Amazona guildingii;honduras;1
Amazona guildingii;italy;1
Amazona guildingii;malaysia;1
Amazona guildingii;mexico;1
Amazona guildingii;palau;1
Amazona guildingii;qatar;1
Amazona guildingii;saint lucia;1
Amazona guildingii;slovenia;1
Amazona guildingii;venezuela;1
Amazona guildingii;vietnam;1
Amazona imperialis;dominica;4
Amazona imperialis;germany;2
Amazona imperialis;australia;1
Amazona imperialis;brazil;1
Amazona imperialis;cuba;1
Amazona imperialis;cyprus;1
Amazona imperialis;denmark;1
Amazona imperialis;israel;1
Amazona imperialis;mexico;1
Amazona imperialis;montserrat;1
Amazona imperialis;netherlands;1
Amazona imperialis;netherlands antilles;1
Amazona imperialis;puerto rico;1
Amazona imperialis;qatar;1
Amazona imperialis;saint lucia;1
Amazona imperialis;south africa;1
Amazona imperialis;spain;1
Amazona imperialis;switzerland;1
Amazona imperialis;u.s. virgin islands;1
Amazona imperialis;united states;1
Amazona imperialis;united states minor outlying islands;1
Amazona leucocephala;cayman islands;3
Amazona leucocephala;india;3
Amazona leucocephala;australia;1
Amazona leucocephala;bahamas;1
Amazona leucocephala;bhutan;1
Amazona leucocephala;brazil;1
Amazona leucocephala;canada;1
Amazona leucocephala;greece;1
Amazona leucocephala;jordan;1
Amazona leucocephala;mexico;1
Amazona leucocephala;mozambique;1
Amazona leucocephala;myanmar;1
Amazona leucocephala;panama;1
Amazona leucocephala;peru;1
Amazona leucocephala;puerto rico;1
Amazona leucocephala;south africa;1
Amazona leucocephala;spain;1
Amazona leucocephala;tanzania;1
Amazona leucocephala;u.s. virgin islands;1
Amazona leucocephala;united states;1
Amazona oratrix;belize;4
Amazona oratrix;united states;4
Amazona oratrix;mexico;3
Amazona oratrix;australia;2
Amazona oratrix;canada;2
Amazona oratrix;new zealand;2
Amazona oratrix;u.s. virgin islands;2
Amazona oratrix;china;1
Amazona oratrix;guinea;1
Amazona oratrix;mongolia;1
Amazona oratrix;papua new guinea;1
Amazona oratrix;taiwan;1
Amazona oratrix;turkey;1
Amazona pretrei;brazil;4
Amazona pretrei;china;3
Amazona pretrei;india;3
Amazona pretrei;antarctica;2
Amazona pretrei;australia;2
Amazona pretrei;canada;2
Amazona pretrei;costa rica;1
Amazona pretrei;falkland islands;1
Amazona pretrei;france;1
Amazona pretrei;french polynesia;1
Amazona pretrei;georgia;1
Amazona pretrei;germany;1
Amazona pretrei;ghana;1
Amazona pretrei;indonesia;1
Amazona pretrei;japan;1
Amazona pretrei;kazakhstan;1
Amazona pretrei;malaysia;1
Amazona pretrei;mexico;1
Amazona pretrei;mongolia;1
Amazona pretrei;new caledonia;1
Amazona pretrei;new zealand;1
Amazona pretrei;poland;1
Amazona pretrei;russia;1
Amazona pretrei;south africa;1
Amazona pretrei;south georgia and the south sandwich islands;1
Amazona pretrei;turkmenistan;1
Amazona pretrei;uzbekistan;1
Amazona pretrei;venezuela;1
Amazona rhodocorytha;brazil;1
Amazona rhodocorytha;brunei;1
Amazona rhodocorytha;guinea;1
Amazona rhodocorytha;iceland;1
Amazona rhodocorytha;indonesia;1
Amazona rhodocorytha;kenya;1
Amazona rhodocorytha;lebanon;1
Amazona rhodocorytha;malaysia;1
Amazona rhodocorytha;mongolia;1
Amazona rhodocorytha;papua new guinea;1
Amazona rhodocorytha;peru;1
Amazona rhodocorytha;tanzania;1
Amazona versicolor;saint lucia;2
Amazona versicolor;indonesia;1
Amazona versicolor;philippines;1
Amazona versicolor;uganda;1
Amazona versicolor;united states;1
Amazona vinacea;brazil;2
Amazona vinacea;united states;2
Amazona vinacea;austria;1
Amazona vinacea;germany;1
Amazona vinacea;paraguay;1
Amazona vinacea;qatar;1
Amazona vinacea;spain;1
Amazona viridigenalis;mexico;13
Amazona viridigenalis;united states;6
Amazona viridigenalis;u.s. virgin islands;4
Amazona viridigenalis;australia;3
Amazona viridigenalis;china;2
Amazona viridigenalis;colombia;2
Amazona viridigenalis;ecuador;2
Amazona viridigenalis;guinea;2
Amazona viridigenalis;papua new guinea;2
Amazona viridigenalis;peru;2
Amazona viridigenalis;brazil;1
Amazona viridigenalis;canada;1
Amazona viridigenalis;guam;1
Amazona viridigenalis;india;1
Amazona viridigenalis;kenya;1
