scientific_name;Countries;Countries
Ailurus fulgens;('Brazil', 'BRA');2
Ailurus fulgens;('Canada', 'CAN');2
Ailurus fulgens;('Germany', 'DEU');2
Ailurus fulgens;('Philippines', 'PHL');2
Ailurus fulgens;('Russian Federation', 'RUS');2
Ailurus fulgens;('Bangladesh', 'BGD');1
Ailurus fulgens;('Colombia', 'COL');1
Ailurus fulgens;('Congo', 'COG');1
Ailurus fulgens;('Hong Kong', 'HKG');1
Ailurus fulgens;('Indonesia', 'IDN');1
Ailurus fulgens;('Ireland', 'IRL');1
Ailurus fulgens;('Malaysia', 'MYS');1
Ailurus fulgens;('Mexico', 'MEX');1
Ailurus fulgens;('New Caledonia', 'NCL');1
Ailurus fulgens;('Saint Martin (French part)', 'MAF');1
Ailurus fulgens;('Spain', 'ESP');1
Ailurus fulgens;('Tanzania, United Republic of', 'TZA');1
Ailurus fulgens;('Uganda', 'UGA');1
Ailurus fulgens;('Viet Nam', 'VNM');1
Alligator sinensis;('China', 'CHN');25
Alligator sinensis;('United States', 'USA');5
Alligator sinensis;('Viet Nam', 'VNM');4
Alligator sinensis;('Australia', 'AUS');3
Alligator sinensis;('Georgia', 'GEO');3
Alligator sinensis;('India', 'IND');3
Alligator sinensis;('Indonesia', 'IDN');3
Alligator sinensis;('Singapore', 'SGP');3
Alligator sinensis;('United Kingdom', 'GBR');3
Alligator sinensis;('Ethiopia', 'ETH');2
Alligator sinensis;('Austria', 'AUT');1
Alligator sinensis;('Botswana', 'BWA');1
Alligator sinensis;('Brazil', 'BRA');1
Alligator sinensis;('Brunei Darussalam', 'BRN');1
Alligator sinensis;('Chile', 'CHL');1
Alligator sinensis;('Colombia', 'COL');1
Alligator sinensis;('Ecuador', 'ECU');1
Alligator sinensis;('Fiji', 'FJI');1
Alligator sinensis;('France', 'FRA');1
Alligator sinensis;('Haiti', 'HTI');1
Alligator sinensis;('Hong Kong', 'HKG');1
Alligator sinensis;('Italy', 'ITA');1
Alligator sinensis;('Jamaica', 'JAM');1
Alligator sinensis;('Japan', 'JPN');1
Alligator sinensis;('Kenya', 'KEN');1
Alligator sinensis;"(""Lao People's Democratic Republic"", 'LAO')";1
Alligator sinensis;('Madagascar', 'MDG');1
Alligator sinensis;('Mauritius', 'MUS');1
Alligator sinensis;('Mexico', 'MEX');1
Alligator sinensis;('Myanmar', 'MMR');1
Alligator sinensis;('New Zealand', 'NZL');1
Alligator sinensis;('Peru', 'PER');1
Alligator sinensis;('Philippines', 'PHL');1
Alligator sinensis;('Russian Federation', 'RUS');1
Alligator sinensis;('Sri Lanka', 'LKA');1
Alligator sinensis;('Thailand', 'THA');1
Allocebus trichotis;('Viet Nam', 'VNM');3
Allocebus trichotis;('China', 'CHN');2
Allocebus trichotis;"(""Lao People's Democratic Republic"", 'LAO')";2
Allocebus trichotis;('Madagascar', 'MDG');2
Allocebus trichotis;('New Zealand', 'NZL');2
Allocebus trichotis;('Panama', 'PAN');2
Allocebus trichotis;('Bolivia, Plurinational State of', 'BOL');1
