scientific_name;Countries;Countries
Anoxypristis cuspidata;switzerland;1
Anoxypristis cuspidata;taiwan;1
Anoxypristis cuspidata;thailand;1
Antilocapra americana;iraq;4
Antilocapra americana;canada;3
Antilocapra americana;mexico;2
Antilocapra americana;iran;1
Antilocapra americana;south africa;1
Antilocapra americana;syria;1
Antilocapra americana;tanzania;1
Antilocapra americana;turkey;1
Aonyx cinerea;singapore;21
Aonyx cinerea;bangladesh;5
Aonyx cinerea;china;4
Aonyx cinerea;india;4
Aonyx cinerea;japan;4
Aonyx cinerea;australia;3
Aonyx cinerea;indonesia;3
Aonyx cinerea;malaysia;2
Aonyx cinerea;new zealand;2
Aonyx cinerea;thailand;2
Aonyx cinerea;brazil;1
Aquila adalberti;spain;41
Aquila adalberti;india;5
Aquila adalberti;france;4
Aquila adalberti;italy;4
Aquila adalberti;portugal;4
Aquila adalberti;morocco;3
Aquila adalberti;belarus;2
Aquila adalberti;canada;2
Aquila adalberti;croatia;2
Aquila adalberti;greece;2
Aquila adalberti;indonesia;2
Aquila adalberti;new zealand;2
Aquila adalberti;poland;2
Aquila adalberti;russia;2
Aquila adalberti;australia;1
Aquila adalberti;brazil;1
Aquila adalberti;china;1
Aquila adalberti;hungary;1
Aquila adalberti;mexico;1
Aquila adalberti;north korea;1
Aquila adalberti;pakistan;1
Aquila adalberti;south africa;1
Aquila adalberti;thailand;1
Aquila heliaca;georgia;18
Aquila heliaca;azerbaijan;14
Aquila heliaca;afghanistan;11
Aquila heliaca;serbia;11
Aquila heliaca;iran;10
Aquila heliaca;india;6
Aquila heliaca;lebanon;6
Aquila heliaca;romania;5
Aquila heliaca;russia;5
Aquila heliaca;turkey;4
Aquila heliaca;china;3
Aquila heliaca;denmark;3
Aquila heliaca;hungary;3
Aquila heliaca;italy;3
Aquila heliaca;montenegro;3
Aquila heliaca;slovakia;3
Aquila heliaca;germany;2
Aquila heliaca;lithuania;2
Aquila heliaca;poland;2
Aquila heliaca;slovenia;2
Aquila heliaca;ukraine;2
Aquila heliaca;armenia;1
Aquila heliaca;belgium;1
Aquila heliaca;croatia;1
Aquila heliaca;france;1
Aquila heliaca;greece;1
Aquila heliaca;kosovo;1
Aquila heliaca;mongolia;1
Aquila heliaca;norway;1
Aquila heliaca;sweden;1
Aquila heliaca;thailand;1
Ara ambiguus;costa rica;43
Ara ambiguus;honduras;13
Ara ambiguus;ecuador;11
Ara ambiguus;panama;11
Ara ambiguus;new zealand;6
Ara ambiguus;nicaragua;4
Ara ambiguus;brazil;3
Ara ambiguus;colombia;3
Ara ambiguus;indonesia;3
Ara ambiguus;peru;3
Ara ambiguus;bolivia;2
Ara ambiguus;el salvador;2
Ara ambiguus;macao;2
Ara ambiguus;malaysia;2
Ara ambiguus;mexico;2
Ara ambiguus;south africa;2
Ara ambiguus;argentina;1
Ara ambiguus;australia;1
Ara ambiguus;canada;1
Ara ambiguus;india;1
Ara ambiguus;japan;1
Ara ambiguus;pakistan;1
Ara ambiguus;spain;1
Ara ambiguus;venezuela;1
Ara glaucogularis;bolivia;29
Ara glaucogularis;georgia;3
Ara glaucogularis;russia;3
Ara glaucogularis;singapore;3
Ara glaucogularis;china;2
Ara glaucogularis;australia;1
Ara glaucogularis;brazil;1
Ara glaucogularis;canada;1
Ara glaucogularis;colombia;1
Ara glaucogularis;netherlands;1
Ara glaucogularis;peru;1
Ara glaucogularis;switzerland;1
Ara glaucogularis;uganda;1
Ara macao;costa rica;9
Ara macao;colombia;3
Ara macao;ecuador;3
Ara macao;guatemala;3
Ara macao;macao;2
Ara macao;mexico;2
Ara macao;bolivia;1
Ara macao;brazil;1
Ara militaris;mexico;15
Ara militaris;colombia;12
Ara militaris;costa rica;12
Ara militaris;peru;7
Ara militaris;argentina;5
Ara militaris;israel;4
Ara militaris;bolivia;3
Ara militaris;brazil;3
Ara militaris;china;2
Ara militaris;ecuador;2
Ara militaris;japan;2
Ara militaris;south africa;2
Ara militaris;canada;1
Ara militaris;egypt;1
Ara militaris;germany;1
Ara militaris;macao;1
Ara militaris;malaysia;1
Ara rubrogenys;bolivia;5
Ara rubrogenys;chile;1
Ara rubrogenys;china;1
Ara rubrogenys;libya;1
Ara rubrogenys;mexico;1
Ara rubrogenys;niger;1
Ara rubrogenys;spain;1
Araucaria araucana;brazil;19
Araucaria araucana;argentina;5
Araucaria araucana;china;3
Araucaria araucana;new zealand;3
Araucaria araucana;netherlands;2
Araucaria araucana;france;1
Araucaria araucana;ireland;1
Araucaria araucana;japan;1
Araucaria araucana;panama;1
Araucaria araucana;russia;1
Araucaria araucana;south africa;1
Araucaria araucana;sri lanka;1
Araucaria araucana;uganda;1
Arctocephalus townsendi;mexico;12
Arctocephalus townsendi;new zealand;5
Arctocephalus townsendi;australia;3
Arctocephalus townsendi;canada;3
Arctocephalus townsendi;china;3
Arctocephalus townsendi;bahamas;2
Arctocephalus townsendi;netherlands;2
Arctocephalus townsendi;japan;1
Arctocephalus townsendi;south africa;1
Ardeotis nigriceps;india;90
Ardeotis nigriceps;pakistan;9
Ardeotis nigriceps;japan;5
Ardeotis nigriceps;australia;1
Ardeotis nigriceps;austria;1
Ardeotis nigriceps;canada;1
Ardeotis nigriceps;china;1
Ardeotis nigriceps;germany;1
Ardeotis nigriceps;hungary;1
Ardeotis nigriceps;south africa;1
Ardeotis nigriceps;tanzania;1
Asarcornis scutulata;malaysia;26
Asarcornis scutulata;cambodia;21
Asarcornis scutulata;india;11
Asarcornis scutulata;bangladesh;6
Asarcornis scutulata;indonesia;6
Asarcornis scutulata;china;3
Asarcornis scutulata;thailand;3
Asarcornis scutulata;myanmar;2
Asarcornis scutulata;spain;2
Asarcornis scutulata;sri lanka;2
Asarcornis scutulata;vietnam;2
