scientific_name;iso3;mentions_country;article_cnt
Andrias davidianus;CZE;1;38
Andrias davidianus;GAB;1;38
Andrias davidianus;GHA;1;38
Andrias davidianus;IDN;1;38
Andrias davidianus;IND;1;38
Andrias davidianus;ISL;1;38
Andrias davidianus;KEN;1;38
Andrias davidianus;MMR;1;38
Andrias davidianus;MYS;1;38
Andrias davidianus;NPL;1;38
Andrias davidianus;RUS;1;38
Andrias davidianus;THA;1;38
Andrias davidianus;TWN;1;38
Andrias davidianus;TZA;1;38
Andrias davidianus;ZAF;1;38
Andrias japonicus;JPN;3;12
Andrias japonicus;USA;3;12
Andrias japonicus;CHN;1;12
Andrias japonicus;COG;1;12
Andrias japonicus;DEU;1;12
Andrias japonicus;EGY;1;12
Andrias japonicus;IRN;1;12
Andrias japonicus;ITA;1;12
Andrias japonicus;NLD;1;12
Anodorhynchus glaucus;BRA;15;17
Anodorhynchus glaucus;DEU;4;17
Anodorhynchus glaucus;SGP;4;17
Anodorhynchus glaucus;ARG;3;17
Anodorhynchus glaucus;BOL;2;17
Anodorhynchus glaucus;COL;2;17
Anodorhynchus glaucus;PER;2;17
Anodorhynchus glaucus;RUS;2;17
Anodorhynchus glaucus;USA;2;17
Anodorhynchus glaucus;AUT;1;17
Anodorhynchus glaucus;BWA;1;17
Anodorhynchus glaucus;CHL;1;17
Anodorhynchus glaucus;CHN;1;17
Anodorhynchus glaucus;IND;1;17
Anodorhynchus glaucus;KEN;1;17
Anodorhynchus glaucus;PRI;1;17
Anodorhynchus glaucus;SAU;1;17
Anodorhynchus glaucus;ZAF;1;17
Anodorhynchus hyacinthinus;BRA;15;25
Anodorhynchus hyacinthinus;BOL;10;25
Anodorhynchus hyacinthinus;CRI;4;25
Anodorhynchus hyacinthinus;ARG;3;25
Anodorhynchus hyacinthinus;MEX;3;25
Anodorhynchus hyacinthinus;PER;3;25
Anodorhynchus hyacinthinus;USA;3;25
Anodorhynchus hyacinthinus;CAN;2;25
Anodorhynchus hyacinthinus;SGP;2;25
Anodorhynchus hyacinthinus;AUS;1;25
Anodorhynchus hyacinthinus;AUT;1;25
Anodorhynchus hyacinthinus;BGD;1;25
Anodorhynchus hyacinthinus;CHE;1;25
Anodorhynchus hyacinthinus;CHN;1;25
Anodorhynchus hyacinthinus;COL;1;25
Anodorhynchus hyacinthinus;CZE;1;25
Anodorhynchus hyacinthinus;DEU;1;25
Anodorhynchus hyacinthinus;ESP;1;25
Anodorhynchus hyacinthinus;FRA;1;25
Anodorhynchus hyacinthinus;GBR;1;25
Anodorhynchus hyacinthinus;IND;1;25
Anodorhynchus hyacinthinus;MDG;1;25
Anodorhynchus hyacinthinus;NLD;1;25
Anodorhynchus hyacinthinus;NZL;1;25
Anodorhynchus hyacinthinus;PRT;1;25
Anodorhynchus hyacinthinus;RUS;1;25
Anodorhynchus hyacinthinus;SVK;1;25
Anodorhynchus leari;BRA;20;21
Anodorhynchus leari;USA;10;21
Anodorhynchus leari;COL;6;21
Anodorhynchus leari;ARG;4;21
Anodorhynchus leari;BOL;4;21
Anodorhynchus leari;CHN;4;21
Anodorhynchus leari;CHE;3;21
Anodorhynchus leari;GBR;3;21
Anodorhynchus leari;PER;3;21
Anodorhynchus leari;CAN;2;21
Anodorhynchus leari;CHL;2;21
Anodorhynchus leari;CRI;2;21
Anodorhynchus leari;CUB;2;21
Anodorhynchus leari;DEU;2;21
Anodorhynchus leari;ETH;2;21
Anodorhynchus leari;FRA;2;21
Anodorhynchus leari;IDN;2;21
Anodorhynchus leari;MEX;2;21
Anodorhynchus leari;MYS;2;21
Anodorhynchus leari;NZL;2;21
Anodorhynchus leari;PHL;2;21
Anodorhynchus leari;PRT;2;21
Anodorhynchus leari;SWE;2;21
Anodorhynchus leari;ZAF;2;21
Anodorhynchus leari;AUS;1;21
Anodorhynchus leari;BGD;1;21
Anodorhynchus leari;BLZ;1;21
Anodorhynchus leari;BWA;1;21
Anodorhynchus leari;CMR;1;21
Anodorhynchus leari;COD;1;21
Anodorhynchus leari;COG;1;21
Anodorhynchus leari;CZE;1;21
Anodorhynchus leari;ESP;1;21
Anodorhynchus leari;IND;1;21
Anodorhynchus leari;ITA;1;21
Anodorhynchus leari;JAM;1;21
Anodorhynchus leari;JPN;1;21
Anodorhynchus leari;KEN;1;21
Anodorhynchus leari;MAR;1;21
Anodorhynchus leari;MDG;1;21
Anodorhynchus leari;MMR;1;21
Anodorhynchus leari;NLD;1;21
Anodorhynchus leari;PAK;1;21
Anodorhynchus leari;PRI;1;21
Anodorhynchus leari;RUS;1;21
Anodorhynchus leari;SGP;1;21
Anodorhynchus leari;SUR;1;21
Anodorhynchus leari;TCD;1;21
Anodorhynchus leari;THA;1;21
Anodorhynchus leari;TZA;1;21
Anodorhynchus leari;VNM;1;21
Anodorhynchus leari;ZMB;1;21
Anoxypristis cuspidata;AUS;10;30
Anoxypristis cuspidata;USA;6;30
Anoxypristis cuspidata;CHN;3;30
Anoxypristis cuspidata;BGD;2;30
Anoxypristis cuspidata;BRA;2;30
Anoxypristis cuspidata;CAN;2;30
Anoxypristis cuspidata;CRI;2;30
Anoxypristis cuspidata;GBR;2;30
Anoxypristis cuspidata;IND;2;30
Anoxypristis cuspidata;MEX;2;30
Anoxypristis cuspidata;CHE;1;30
Anoxypristis cuspidata;COL;1;30
Anoxypristis cuspidata;ESP;1;30
Anoxypristis cuspidata;IDN;1;30
Anoxypristis cuspidata;MAR;1;30
Anoxypristis cuspidata;MDG;1;30
Anoxypristis cuspidata;MRT;1;30
Anoxypristis cuspidata;MYS;1;30
Anoxypristis cuspidata;PAK;1;30
Anoxypristis cuspidata;PER;1;30
Anoxypristis cuspidata;SDN;1;30
Anoxypristis cuspidata;THA;1;30
Anoxypristis cuspidata;TUR;1;30
Anoxypristis cuspidata;TWN;1;30
Antilocapra americana;USA;11;40
Antilocapra americana;CAN;4;40
Antilocapra americana;MEX;3;40
Antilocapra americana;TUR;2;40
Antilocapra americana;DEU;1;40
Antilocapra americana;IRN;1;40
Antilocapra americana;IRQ;1;40
Antilocapra americana;KEN;1;40
Antilocapra americana;TZA;1;40
Antilocapra americana;ZAF;1;40
Aonyx cinerea;AUS;7;35
Aonyx cinerea;IND;5;35
Aonyx cinerea;SGP;5;35
Aonyx cinerea;IDN;4;35
Aonyx cinerea;JPN;4;35
Aonyx cinerea;MYS;4;35
Aonyx cinerea;CHN;3;35
Aonyx cinerea;NZL;3;35
Aonyx cinerea;THA;3;35
Aonyx cinerea;PHL;2;35
Aonyx cinerea;BGD;1;35
Aonyx cinerea;BRA;1;35
Aonyx cinerea;ITA;1;35
Aonyx cinerea;NPL;1;35
Aonyx cinerea;USA;1;35
Aonyx cinerea;VNM;1;35
Aquila adalberti;ESP;20;27
Aquila adalberti;GBR;8;27
Aquila adalberti;PRT;8;27
Aquila adalberti;ITA;4;27
Aquila adalberti;FRA;3;27
Aquila adalberti;HRV;3;27
Aquila adalberti;RUS;3;27
Aquila adalberti;BGD;2;27
Aquila adalberti;BLR;2;27
Aquila adalberti;GRC;2;27
Aquila adalberti;IND;2;27
Aquila adalberti;ISL;2;27
Aquila adalberti;MAR;2;27
Aquila adalberti;NPL;2;27
Aquila adalberti;PAK;2;27
Aquila adalberti;POL;2;27
Aquila adalberti;USA;2;27
Aquila adalberti;AUS;1;27
Aquila adalberti;BGR;1;27
Aquila adalberti;BRA;1;27
Aquila adalberti;CAN;1;27
Aquila adalberti;CHN;1;27
Aquila adalberti;COD;1;27
Aquila adalberti;DNK;1;27
Aquila adalberti;EST;1;27
Aquila adalberti;HUN;1;27
Aquila adalberti;IDN;1;27
Aquila adalberti;MEX;1;27
Aquila adalberti;NOR;1;27
Aquila adalberti;NZL;1;27
Aquila adalberti;PHL;1;27
Aquila adalberti;PRK;1;27
Aquila adalberti;RWA;1;27
Aquila adalberti;THA;1;27
Aquila adalberti;TUR;1;27
Aquila adalberti;VNM;1;27
Aquila heliaca;SRB;6;40
Aquila heliaca;IND;5;40
Aquila heliaca;RUS;5;40
Aquila heliaca;USA;5;40
Aquila heliaca;DEU;4;40
Aquila heliaca;ESP;4;40
Aquila heliaca;IRN;4;40
Aquila heliaca;UKR;4;40
Aquila heliaca;AZE;3;40
Aquila heliaca;CHN;3;40
Aquila heliaca;MNE;3;40
Aquila heliaca;POL;3;40
Aquila heliaca;PRT;3;40
Aquila heliaca;ROU;3;40
Aquila heliaca;TUR;3;40
Aquila heliaca;BIH;2;40
Aquila heliaca;DNK;2;40
Aquila heliaca;EST;2;40
Aquila heliaca;GBR;2;40
Aquila heliaca;GEO;2;40
Aquila heliaca;HUN;2;40
Aquila heliaca;ISR;2;40
Aquila heliaca;ITA;2;40
Aquila heliaca;LTU;2;40
Aquila heliaca;NPL;2;40
Aquila heliaca;SVK;2;40
