scientific_name;Countries;mentions_country;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution
Acinonyx jubatus;france;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;iraq;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;israel;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;japan;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;kazakhstan;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;kuwait;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;rwanda;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;switzerland;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;syria;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
Acinonyx jubatus;thailand;1;15123.0;36;692000;1;Animalia;Mammalia;Carnivora;Felidae;Acinonyx;jubatus;I;Algeria,Angola,Benin,Botswana,Burkina Faso,Cameroon,Central African Republic,Chad,Democratic Republic of the Congo,Djibouti,Eritrea,Eswatini,Ethiopia,Iran (Islamic Republic of),Kenya,Malawi,Mali,Mauritania,Mozambique,Namibia,Niger,Nigeria,Somalia,South Africa,South Sudan,Sudan,Togo,Uganda,United Republic of Tanzania,Western Sahara,Zambia,Zimbabwe;Afghanistan,Burundi,India,Iraq,Israel,Jordan,Kazakhstan,Kuwait,Kyrgyzstan,Lebanon,Libya,Morocco,Pakistan,Saudi Arabia,Senegal,Syrian Arab Republic,Tajikistan,Tunisia,Turkmenistan,Uzbekistan,Yemen
