,geometry,address,lat,lon,freq,name
170,POINT (-157.9753368892878 -19.9196729),Kūki 'Āirani,-19.919672900000002,-157.9753368892878,4,Cook Islands
171,POINT (-80.8328748 23.0131338),Cuba,23.0131338,-80.8328748,16,Cuba
172,POINT (-69.0408499890865 12.21339425),"Curaçao, Nederland",12.21339425,-69.0408499890865,3,Curaçao
173,POINT (-70.30280260000001 19.0974031),República Dominicana,19.0974031,-70.3028026,23,Dominican Republic
174,POINT (179.0122737 -18.1239696),Viti,-18.1239696,179.0122737,18,Fiji
175,POINT (-144.6434898 -17.0243749),"Polynésie Française, France",-17.0243749,-144.6434898,10,French Polynesia
176,POINT (69.62275903679347 -49.23744195),"Terres australes et antarctiques françaises, France",-49.237441950000004,69.62275903679347,9,French Southern and Antarctic Territories
177,POINT (-61.6904045 12.1360374),Grenada,12.1360374,-61.6904045,15,Grenada
178,POINT (-61.5650444 16.2490067),"Guadeloupe, France",16.2490067,-61.5650444,10,Guadeloupe
179,POINT (144.7575510297206 13.4501257),"Guam, Sinajana Municipality, Guam, United States",13.450125700000001,144.75755102972062,6,Guam
180,POINT (-72.3570972 19.1399952),Ayiti,19.1399952,-72.3570972,12,Haiti
181,POINT (-77.39476929999999 18.1850507),Jamaica,18.1850507,-77.3947693,13,Jamaica
182,POINT (139.2394179 36.5748441),日本,36.5748441,139.2394179,40,Japan
183,POINT (173.6641773 0.3448612),Kiribati,0.3448612,173.6641773,3,Kiribati
184,POINT (46.4416422 -18.9249604),Madagasikara,-18.9249604,46.4416422,67,Madagascar
185,POINT (73.32878530000001 4.7064352),ދިވެހިރާއްޖެ,4.7064352,73.3287853,8,Maldives
186,POINT (14.4476911 35.8885993),Malta,35.8885993,14.4476911,16,Malta
187,POINT (168.0002575 8.9995549),"Marshall Islands, Ṃajeḷ",8.9995549,168.0002575,5,Marshall Islands
188,POINT (-61.01582685063731 14.6367927),"Martinique, France",14.6367927,-61.01582685063731,7,Martinique
189,POINT (57.5703566 -20.2759451),Mauritius,-20.2759451,57.5703566,16,Mauritius
190,POINT (45.1485289522152 -12.8255515),"Mayotte, France",-12.8255515,45.1485289522152,6,Mayotte
191,POINT (-77.0405464 38.9073892),"Embassy of the Federated States of Micronesia, N Street Northwest, Dupont Circle, Washington, District of Columbia, 20037, United States",38.9073892,-77.0405464,8,Micronesia (Federated States of)
192,POINT (-62.1916844 16.7417041),Montserrat,16.7417041,-62.1916844,5,Montserrat 
193,POINT (-68.6607922625 12.1845),"Nederlandse Cariben, Curaçao, Nederland",12.1845,-68.6607922625,14,Netherlands Antilles
194,POINT (165.4880773 -21.3019905),"Nouvelle-Calédonie, France",-21.3019905,165.4880773,15,New Caledonia
195,POINT (145.2134524831892 14.1490205),"Northern Mariana Islands, United States",14.149020499999999,145.21345248318923,4,Northern Mariana Islands
196,POINT (57.0036901 21.0000287),عمان,21.0000287,57.0036901,28,Oman
197,POINT (132.9102573 5.3783537),Belau,5.3783537,132.9102573,8,Palau
198,POINT (144.2489081 -5.6816069),Papua Niugini,-5.6816069,144.2489081,21,Papua New Guinea
199,POINT (-130.101782 -25.0657719),Pitcairn Islands,-25.0657719,-130.101782,4,Pitcairn Islands 
