scientific_name;sharecount;article_cnt;gl_hits;Charisma;Kingdom;Class;Order;Family;Genus;Species;Listing;NativeDistributionFullNames;Extinct_Distribution;views;hits_renew
Eretmochelys imbricata;6040.0;36;430000;1;Animalia;Reptilia;Testudines;Cheloniidae;Eretmochelys;imbricata;I;Albania,American Samoa,Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Australia,Bahamas,Bahrain,Bangladesh,Barbados,Belize,Benin,Bermuda (United Kingdom),Brazil,British Indian Ocean Territory (United Kingdom),British Virgin Islands (United Kingdom),Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Cayman Islands (United Kingdom),China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Cuba,Curaçao,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,France,French Guiana [FR],French Polynesia,French Southern and Antarctic Territories,Gabon,Gambia,Ghana,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kiribati,Kuwait,Liberia,Macau,Madagascar,Malaysia,Maldives,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Montserrat (United Kingdom),Mozambique,Myanmar,Namibia,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Nigeria,Northern Mariana Islands,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn Islands (United Kingdom),Portugal,Puerto Rico,Qatar,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Sint Maarten,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Taiwan, Province of China,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),Tuvalu,United Arab Emirates,United Republic of Tanzania,United States of America,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Wallis and Futuna Islands,Yemen;;754525;410000
Ara ambiguus;6007.0;21;44800;0;Animalia;Aves;Psittaciformes;Psittacidae;Ara;ambiguus;I;Colombia,Costa Rica,Ecuador,Honduras,Nicaragua,Panama;;143248;50500
Speothos venaticus;5800.0;14;74100;0;Animalia;Mammalia;Carnivora;Canidae;Speothos;venaticus;I;Argentina,Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Panama,Paraguay,Peru,Suriname,Venezuela (Bolivarian Republic of);;592793;80400
Pseudoryx nghetinhensis;5667.0;31;40600;0;Animalia;Mammalia;Artiodactyla;Bovidae;Pseudoryx;nghetinhensis;I;Lao People's Democratic Republic,Viet Nam;;564024;38900
Lynx pardinus;5581.0;28;172000;1;Animalia;Mammalia;Carnivora;Felidae;Lynx;pardinus;I;Portugal,Spain;;818454;180000
Nycticebus coucang;5385.0;48;64700;0;Animalia;Mammalia;Primates;Lorisidae;Nycticebus;coucang;I;Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Thailand;;87125;357000
Geochelone elegans;5366.0;43;57700;0;Animalia;Reptilia;Testudines;Testudinidae;Geochelone;elegans;I;India,Pakistan,Sri Lanka;;390389;69900
Acerodon jubatus;5286.0;20;31200;0;Animalia;Mammalia;Chiroptera;Pteropodidae;Acerodon;jubatus;I;Philippines;;1926277;40700
Balaenoptera physalus;5258.0;47;217000;1;Animalia;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;I;Algeria,Angola,Antarctica,Argentina,Australia,Bangladesh,Belgium,Belize,Brazil,Canada,Chile,Colombia,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Democratic People's Republic of Korea,Denmark,Ecuador,Egypt,El Salvador,Faroe Islands,Fiji,France,French Polynesia,French Southern and Antarctic Territories,Gabon,Germany,Greece,Greenland,Guyana,Honduras,Hong Kong, SAR,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Kenya,Madagascar,Malta,Mauritania,Mexico,Monaco,Morocco,Mozambique,Myanmar,Namibia,Netherlands,Netherlands Antilles,New Zealand,Norway,Pakistan,Peru,Poland,Portugal,Republic of Korea,Russian Federation,Sao Tome and Principe,Saudi Arabia,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Suriname,Svalbard and Jan Mayen Islands,Taiwan, Province of China,Tunisia,Turkey,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of);;999246;246000
Rhodonessa caryophyllacea;4988.0;25;26000;0;Animalia;Aves;Anseriformes;Anatidae;Rhodonessa;caryophyllacea;I;;Bangladesh,India,Nepal;197596;22800
Dugong dugon;4949.0;43;179000;1;Animalia;Mammalia;Sirenia;Dugongidae;Dugong;dugon;I;Australia,Bahrain,Bangladesh,Brunei Darussalam,Cambodia,China,Comoros,Democratic People's Republic of Korea,Djibouti,Egypt,Eritrea,Guam,India,Indonesia,Iran (Islamic Republic of),Israel,Japan,Kenya,Madagascar,Malaysia,Mauritius,Mayotte,Micronesia (Federated States of),Mozambique,Myanmar,New Caledonia,Oman,Palau,Papua New Guinea,Philippines,Qatar,Saudi Arabia,Singapore,Solomon Islands,Somalia,South Africa,Sri Lanka,Sudan,Taiwan, Province of China,Thailand,United Arab Emirates,United Republic of Tanzania,Vanuatu,Viet Nam,Yemen;Maldives;2804149;181000
Pristis pectinata;4900.0;19;39900;0;Animalia;Elasmobranchii;Pristiformes;Pristidae;Pristis;pectinata;I;Argentina,Aruba,Bahamas,Bangladesh,Belize,Bermuda (United Kingdom),Brazil,Cameroon,Costa Rica,Cuba,Honduras,India,Kenya,Lebanon,Madagascar,Mauritius,Mexico,Morocco,Mozambique,Myanmar,Namibia,Netherlands Antilles,Oman,Pakistan,Peru,Sao Tome and Principe,Sierra Leone,Somalia,South Africa,Sri Lanka,Syrian Arab Republic,Thailand,United Republic of Tanzania,United States of America,Western Sahara;Réunion;80921;40700
Catagonus wagneri;4849.0;26;32900;0;Animalia;Mammalia;Artiodactyla;Tayassuidae;Catagonus;wagneri;I;Argentina,Bolivia (Plurinational State of),Paraguay;;130822;29600
Eubalaena glacialis;4793.0;37;120000;1;Animalia;Mammalia;Cetacea;Balaenidae;Eubalaena;glacialis;I;Bahamas,Belgium,Bermuda (United Kingdom),Canada,Faroe Islands,France,Germany,Greenland,Iceland,Ireland,Italy,Malta,Morocco,Netherlands,Norway,Portugal,Russian Federation,Saint Helena and Dependencies (United Kingdom),Spain,Svalbard and Jan Mayen Islands,United Kingdom of Great Britain and Northern Ireland,United States of America;;425794;104000
Eubalaena australis;4704.0;31;125000;1;Animalia;Mammalia;Cetacea;Balaenidae;Eubalaena;australis;I;Angola,Argentina,Australia,Bouvet Island,Brazil,Chile,Falkland Islands (Malvinas),French Southern and Antarctic Territories,Gabon,Guyana,India,Kenya,Mozambique,Namibia,New Zealand,Peru,Saint Helena and Dependencies (United Kingdom),South Africa,South Georgia and South Sandwich Islands (United Kingdom),United Republic of Tanzania,Uruguay;;391543;121000
Panthera pardus;4669.0;49;1680000;1;Animalia;Mammalia;Carnivora;Felidae;Panthera;pardus;I;Afghanistan,Algeria,Angola,Armenia,Azerbaijan,Bangladesh,Benin,Bhutan,Botswana,Burkina Faso,Burundi,Cambodia,Cameroon,Central African Republic,Chad,China,Congo,Côte d'Ivoire,Democratic People's Republic of Korea,Democratic Republic of the Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Gabon,Gambia,Georgia,Ghana,Guinea,Guinea Bissau,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kenya,Lao People's Democratic Republic,Lebanon,Lesotho,Liberia,Malawi,Malaysia,Mali,Morocco,Mozambique,Myanmar,Namibia,Nepal,Niger,Nigeria,Oman,Pakistan,Republic of Korea,Russian Federation,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Somalia,South Africa,South Sudan,Sri Lanka,Sudan,Tajikistan,Thailand,Togo,Tunisia,Turkey,Turkmenistan,Uganda,United Arab Emirates,United Republic of Tanzania,Viet Nam,Yemen,Zambia,Zimbabwe;Hong Kong, SAR,Libya,Singapore,Syrian Arab Republic;5976537;1400000
Ailuropoda melanoleuca;4638.0;28;705000;1;Animalia;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;I;China;;9965269;624000
Gymnogyps californianus;4572.0;24;73100;0;Animalia;Aves;Falconiformes;Cathartidae;Gymnogyps;californianus;I;;Mexico;1605029;75200
Tapirus indicus;4436.0;52;101000;0;Animalia;Mammalia;Perissodactyla;Tapiridae;Tapirus;indicus;I;Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Thailand,Viet Nam;;484314;117000
Grus vipio;4411.0;9;37100;0;Animalia;Aves;Gruiformes;Gruidae;Grus;vipio;I;China,Democratic People's Republic of Korea,Japan,Kazakhstan,Mongolia,Republic of Korea,Russian Federation,Taiwan, Province of China;;65491;38400
Platanista gangetica;4316.0;87;50500;0;Animalia;Mammalia;Cetacea;Platanistidae;Platanista;gangetica;I;Bangladesh,India,Nepal;;112843;54100
Pezoporus occidentalis;4240.0;24;14700;0;Animalia;Aves;Psittaciformes;Psittacidae;Pezoporus;occidentalis;I;Australia;;370506;19700
Ursus arctos isabellinus;4228.0;31;22500;0;Animalia;Mammalia;Carnivora;Ursidae;Ursus;arctos;I/II;Afghanistan,China,India,Kazakhstan,Kyrgyzstan,Mongolia,Nepal,Pakistan,Tajikistan,Uzbekistan;;509019;20200
Pan troglodytes;4151.0;32;1470000;1;Animalia;Mammalia;Primates;Hominidae;Pan;troglodytes;I;Angola,Burundi,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Guinea Bissau,Liberia,Mali,Nigeria,Rwanda,Senegal,Sierra Leone,South Sudan,Uganda,United Republic of Tanzania;;3742637;1600000
Lasiorhinus krefftii;4128.0;41;29000;0;Animalia;Mammalia;Diprotodontia;Vombatidae;Lasiorhinus;krefftii;I;Australia;;203829;32000
Ceratotherium simum simum;4122.0;20;66400;0;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Ceratotherium;simum;I/II;South Africa;Angola,Eswatini;334101;64800
Dicerorhinus sumatrensis;4096.0;34;77900;0;Animalia;Mammalia;Perissodactyla;Rhinocerotidae;Dicerorhinus;sumatrensis;I;India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Thailand,Viet Nam;Bangladesh,Brunei Darussalam;815297;69600
Cyanopsitta spixii;4073.0;18;55700;0;Animalia;Aves;Psittaciformes;Psittacidae;Cyanopsitta;spixii;I;Brazil;;940870;59800
Monachus schauinslandi;3992.0;50;38800;0;Animalia;Mammalia;Carnivora;Phocidae;Monachus;schauinslandi;I;United States of America;;482006;39100
Gavialis gangeticus;3907.0;72;118000;1;Animalia;Reptilia;Crocodylia;Gavialidae;Gavialis;gangeticus;I;Bangladesh,India,Nepal,Pakistan;Myanmar;1870975;123000
Priodontes maximus;3904.0;31;56300;0;Animalia;Mammalia;Cingulata;Dasypodidae;Priodontes;maximus;I;Argentina,Bolivia (Plurinational State of),Brazil,Colombia,Ecuador,French Guiana [FR],Guyana,Paraguay,Peru,Suriname,Venezuela (Bolivarian Republic of);;447284;64100
Eulemur coronatus;3882.0;55;24800;0;Animalia;Mammalia;Primates;Lemuridae;Eulemur;coronatus;I;Madagascar;;49009;25100
Melursus ursinus;3819.0;23;101000;0;Animalia;Mammalia;Carnivora;Ursidae;Melursus;ursinus;I;Bangladesh,Bhutan,India,Nepal,Sri Lanka;;2138468;95900
Psittacus erithacus;3817.0;21;220000;1;Animalia;Aves;Psittaciformes;Psittacidae;Psittacus;erithacus;I;Angola,Benin,Burundi,Cameroon,Central African Republic,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Guinea Bissau,Kenya,Liberia,Mali,Nigeria,Rwanda,Sao Tome and Principe,Sierra Leone,Togo,Uganda,United Republic of Tanzania;;831562;237000
Oryx dammah;3659.0;34;86600;0;Animalia;Mammalia;Artiodactyla;Bovidae;Oryx;dammah;I;;Algeria,Burkina Faso,Chad,Egypt,Libya,Mali,Mauritania,Morocco,Niger,Nigeria,Senegal,Sudan,Tunisia,Western Sahara;621314;73300
Lepilemur septentrionalis;3638.0;11;7650;0;Animalia;Mammalia;Primates;Lepilemuridae;Lepilemur;septentrionalis;I;Madagascar;;38087;8290
Amazona vittata;3613.0;16;36800;0;Animalia;Aves;Psittaciformes;Psittacidae;Amazona;vittata;I;Puerto Rico;;132663;41000
Pionopsitta pileata;3595.0;33;13400;0;Animalia;Aves;Psittaciformes;Psittacidae;Pionopsitta;pileata;I;Argentina,Brazil,Paraguay;;10220;13400
Arctocephalus townsendi;3586.0;28;20700;0;Animalia;Mammalia;Carnivora;Otariidae;Arctocephalus;townsendi;I;Mexico,United States of America;;66842;21700
Totoaba macdonaldi;3577.0;37;33700;0;Animalia;Actinopteri;Perciformes;Sciaenidae;Totoaba;macdonaldi;I;Mexico;;450186;44900
Helarctos malayanus;3569.0;46;144000;1;Animalia;Mammalia;Carnivora;Ursidae;Helarctos;malayanus;I;Brunei Darussalam,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Thailand,Viet Nam;Bangladesh;1606772;163000
Lepidochelys olivacea;3532.0;18;302000;1;Animalia;Reptilia;Testudines;Cheloniidae;Lepidochelys;olivacea;I;Angola,Antigua and Barbuda,Australia,Bahrain,Bangladesh,Barbados,Benin,Brazil,Brunei Darussalam,Cabo Verde,Cambodia,Cameroon,Canada,Chile,China,Colombia,Comoros,Comoros,Congo,Costa Rica,Côte d'Ivoire,Cuba,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Fiji,French Guiana [FR],Gabon,Gambia,Ghana,Grenada,Guadeloupe,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Jordan,Kenya,Kuwait,Liberia,Madagascar,Malaysia,Maldives,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Mozambique,Myanmar,Namibia,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Nigeria,Oman,Pakistan,Panama,Papua New Guinea,Peru,Philippines,Portugal,Qatar,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Solomon Islands,Somalia,South Africa,Sri Lanka,Sudan,Suriname,Taiwan, Province of China,Thailand,Timor-Leste,Togo,Trinidad and Tobago,United Arab Emirates,United Arab Emirates,United Republic of Tanzania,United States of America,Uruguay,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Yemen;;604345;294000
Pelecanus crispus;3508.0;25;190000;1;Animalia;Aves;Pelecaniformes;Pelecanidae;Pelecanus;crispus;I;Afghanistan,Albania,Algeria,Armenia,Azerbaijan,Bulgaria,China,Cyprus,Egypt,Georgia,Greece,Hong Kong, SAR,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Kazakhstan,Kuwait,Kyrgyzstan,Latvia,Lebanon,Mongolia,Montenegro,Pakistan,Poland,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Slovakia,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Turkey,Turkmenistan,Ukraine,United Arab Emirates,Uzbekistan,Western Sahara;Austria,Bosnia and Herzegovina,Croatia,Germany,Hungary,North Macedonia,Serbia;261816;185000
Macaca sylvanus;3496.0;33;192000;1;Animalia;Mammalia;Primates;Cercopithecidae;Macaca;sylvanus;I;Algeria,Morocco;;531075;582000
Balaenoptera edeni;3441.0;19;74300;0;Animalia;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;edeni;I;Angola,Argentina,Australia,Bangladesh,Brazil,Brunei Darussalam,Cabo Verde,Chile,China,Colombia,Costa Rica,Djibouti,Ecuador,Egypt,El Salvador,Fiji,French Polynesia,Gabon,Grenada,Honduras,India,Indonesia,Iraq,Japan,Kenya,Madagascar,Malaysia,Maldives,Mauritania,Mexico,Mozambique,Myanmar,Namibia,Netherlands Antilles,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Saudi Arabia,Senegal,Seychelles,Solomon Islands,Somalia,South Africa,Sri Lanka,Taiwan, Province of China,Thailand,United Republic of Tanzania,United States of America,Venezuela (Bolivarian Republic of),Yemen;;414929;77000
Cacatua sulphurea;3434.0;35;70200;0;Animalia;Aves;Psittaciformes;Cacatuidae;Cacatua;sulphurea;I;Indonesia,Timor-Leste;;204644;61100
Atelopus zeteki;3408.0;34;28500;0;Animalia;Amphibia;Anura;Bufonidae;Atelopus;zeteki;I;Panama;;237275;31700
Lepidochelys kempii;3403.0;29;93200;0;Animalia;Reptilia;Testudines;Cheloniidae;Lepidochelys;kempii;I;Belgium,Colombia,France,Ireland,Italy,Malta,Mauritania,Mexico,Netherlands,Portugal,Spain,United Kingdom of Great Britain and Northern Ireland,United States of America;;276541;110000
Oryx leucoryx;3376.0;23;76400;0;Animalia;Mammalia;Artiodactyla;Bovidae;Oryx;leucoryx;I;;Egypt,Iraq,Israel,Jordan,Kuwait,Oman,Saudi Arabia,Syrian Arab Republic,United Arab Emirates,Yemen;641828;79200
Probosciger aterrimus;3351.0;33;74400;0;Animalia;Aves;Psittaciformes;Cacatuidae;Probosciger;aterrimus;I;Australia,Indonesia,Papua New Guinea;;280826;70500
Dalbergia nigra;3330.0;41;59800;0;Plantae;;Fabales;Leguminosae;Dalbergia;nigra;I;Brazil;;138788;65700
Pyxis arachnoides;3308.0;17;28700;0;Animalia;Reptilia;Testudines;Testudinidae;Pyxis;arachnoides;I;Madagascar;;33775;35200
Trichechus manatus;3224.0;30;214000;1;Animalia;Mammalia;Sirenia;Trichechidae;Trichechus;manatus;I;Bahamas,Belize,Brazil,Colombia,Costa Rica,Cuba,Dominican Republic,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Netherlands Antilles,Nicaragua,Panama,Puerto Rico,Suriname,Trinidad and Tobago,United States of America,Venezuela (Bolivarian Republic of);Antigua and Barbuda,British Virgin Islands (United Kingdom),Grenada,Guadeloupe,Martinique,Virgin Islands of the USA;544060;306000
Manis tetradactyla;3198.0;15;7740;0;Animalia;Mammalia;Pholidota;Manidae;Manis;tetradactyla;I;Angola,Cameroon,Congo,Côte d'Ivoire,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Ghana,Guinea,Liberia,Nigeria,Sierra Leone,Uganda;;93306;7640
Falco peregrinus;3188.0;42;996000;1;Animalia;Aves;Falconiformes;Falconidae;Falco;peregrinus;I;Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda (United Kingdom),Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands (United Kingdom),Central African Republic,Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana [FR],Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar (United Kingdom),Greece,Greenland,Grenada,Guam,Guatemala,Guernsey (United Kingdom),Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hong Kong, SAR,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey (United Kingdom),Jersey (United Kingdom),Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat (United Kingdom),Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Peru,Philippines,Pitcairn Islands (United Kingdom),Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and South Sandwich Islands (United Kingdom),Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Taiwan, Province of China,Tajikistan,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands (United Kingdom),Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Virgin Islands of the USA,Yemen,Zambia,Zimbabwe;;4661688;1190000
Malacochersus tornieri;3152.0;23;31400;0;Animalia;Reptilia;Testudines;Testudinidae;Malacochersus;tornieri;I;Kenya,United Republic of Tanzania,Zambia;;94953;38100
Anoxypristis cuspidata;3143.0;24;15300;0;Animalia;Elasmobranchii;Pristiformes;Pristidae;Anoxypristis;cuspidata;I;Australia,Bangladesh,Cambodia,China,Egypt,India,Indonesia,Iran (Islamic Republic of),Iraq,Japan,Oman,Pakistan,Papua New Guinea,Philippines,Singapore,Sri Lanka,Taiwan, Province of China,Viet Nam;;39740;14800
Varecia variegata;3140.0;20;84000;0;Animalia;Mammalia;Primates;Lemuridae;Varecia;variegata;I;Madagascar;;127780;388000
Balaena mysticetus;3129.0;21;142000;1;Animalia;Mammalia;Cetacea;Balaenidae;Balaena;mysticetus;I;Canada,Democratic People's Republic of Korea,Greenland,Iceland,Japan,Norway,Republic of Korea,Russian Federation,Svalbard and Jan Mayen Islands,United States of America;;1781273;154000
Guarouba guarouba;3129.0;22;8450;0;Animalia;Aves;Psittaciformes;Psittacidae;Guarouba;guarouba;I;Brazil;;86301;7310
Eubalaena japonica;3127.0;17;28100;0;Animalia;Mammalia;Cetacea;Balaenidae;Eubalaena;japonica;I;Canada,China,Democratic People's Republic of Korea,Japan,Mexico,Republic of Korea,Russian Federation,Taiwan, Province of China,United States of America;;248943;27700
Mycteria cinerea;3122.0;8;25400;0;Animalia;Aves;Ciconiiformes;Ciconiidae;Mycteria;cinerea;I;Cambodia,Indonesia,Malaysia,Viet Nam;Thailand;41802;20900
Aonyx cinerea;3120.0;31;59600;0;Animalia;Mammalia;Carnivora;Mustelidae;Aonyx;cinerea;I;Bangladesh,Brunei Darussalam,Cambodia,China,India,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Nepal,Philippines,Singapore,Taiwan, Province of China,Thailand,Viet Nam;;193719;63600
Rucervus eldii;3085.0;70;31500;0;Animalia;Mammalia;Artiodactyla;Cervidae;Rucervus;eldii;I;Cambodia,China,India,Lao People's Democratic Republic,Myanmar;;118370;31300
Crocodylus acutus;3022.0;21;188000;1;Animalia;Reptilia;Crocodylia;Crocodylidae;Crocodylus;acutus;I/II;Belize,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Peru,United States of America,Venezuela (Bolivarian Republic of);;1918477;201000
Macrotis lagotis;2966.0;53;49400;0;Animalia;Mammalia;Peramelemorphia;Thylacomyidae;Macrotis;lagotis;I;Australia;;132309;52000
Aquila heliaca;2958.0;36;178000;1;Animalia;Aves;Falconiformes;Accipitridae;Aquila;heliaca;I;Afghanistan,Albania,Armenia,Austria,Azerbaijan,Bangladesh,Belarus,Bhutan,Bosnia and Herzegovina,Bulgaria,Cameroon,China,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Denmark,Djibouti,Egypt,Eritrea,Ethiopia,Finland,France,Georgia,Germany,Greece,Hong Kong, SAR,Hungary,India,Iran (Islamic Republic of),Iraq,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Lebanon,Libya,Lithuania,Malaysia,Mongolia,Montenegro,Morocco,Myanmar,Nepal,North Macedonia,Oman,Pakistan,Poland,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,Sudan,Sweden,Syrian Arab Republic,Tajikistan,Thailand,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Republic of Tanzania,Uzbekistan,Viet Nam,Yemen;;282770;170000
Caloenas nicobarica;2957.0;28;52000;0;Animalia;Aves;Columbiformes;Columbidae;Caloenas;nicobarica;I;Cambodia,India,Indonesia,Malaysia,Myanmar,Palau,Papua New Guinea,Philippines,Solomon Islands,Thailand,Viet Nam;;581688;48400
Geochelone platynota;2923.0;3;20100;0;Animalia;Reptilia;Testudines;Testudinidae;Geochelone;platynota;I;Myanmar;;42178;24500
Telmatobius culeus;2837.0;25;20500;0;Animalia;Amphibia;Anura;Telmatobiidae;Telmatobius;culeus;I;Bolivia (Plurinational State of),Peru;;96224;21500
Pan paniscus;2833.0;27;352000;1;Animalia;Mammalia;Primates;Hominidae;Pan;paniscus;I;Democratic Republic of the Congo;;5242459;363000
Ailurus fulgens;2815.0;44;416000;1;Animalia;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;I;Bhutan,China,India,Myanmar,Nepal;;6605830;507000
Pangasianodon gigas;2771.0;36;39000;0;Animalia;Actinopteri;Siluriformes;Pangasiidae;Pangasianodon;gigas;I;Cambodia,Lao People's Democratic Republic,Thailand,Viet Nam;;431637;33400
Mitu mitu;2751.0;10;81600;0;Animalia;Aves;Galliformes;Cracidae;Mitu;mitu;I;;Brazil;299862;87100
Monachus tropicalis;2678.0;18;20800;0;Animalia;Mammalia;Carnivora;Phocidae;Monachus;tropicalis;I;;Bahamas,Colombia,Cuba,Guadeloupe,Haiti,Honduras,Jamaica,Mexico,Puerto Rico,United States of America;429940;21500
Geoclemys hamiltonii;2669.0;28;17100;0;Animalia;Reptilia;Testudines;Geoemydidae;Geoclemys;hamiltonii;I;Bangladesh,India,Nepal,Pakistan;;41658;23000
Anodorhynchus leari;2663.0;20;28800;0;Animalia;Aves;Psittaciformes;Psittacidae;Anodorhynchus;leari;I;Brazil;;182801;28300
Mustela nigripes;2660.0;30;79400;0;Animalia;Mammalia;Carnivora;Mustelidae;Mustela;nigripes;I;United States of America;Canada,Mexico;848684;72800
Vultur gryphus;2651.0;22;245000;1;Animalia;Aves;Falconiformes;Cathartidae;Vultur;gryphus;I;Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Venezuela (Bolivarian Republic of);;1416920;243000
