scientific_name;Countries;Country_count;article_count
Tremarctos ornatus;Australia;4;67
Tremarctos ornatus;Brazil;4;67
Tremarctos ornatus;Belize;3;67
Tremarctos ornatus;India;2;67
Tremarctos ornatus;Nepal;2;67
Tremarctos ornatus;Bangladesh;1;67
Tremarctos ornatus;Bhutan;1;67
Tremarctos ornatus;Canada;1;67
Tremarctos ornatus;China;1;67
Tremarctos ornatus;Germany;1;67
Tremarctos ornatus;Indonesia;1;67
Tremarctos ornatus;Italy;1;67
Tremarctos ornatus;Kenya;1;67
Tremarctos ornatus;Norway;1;67
Tremarctos ornatus;Romania;1;67
Tremarctos ornatus;Sri Lanka;1;67
Tremarctos ornatus;Suriname;1;67
Ursus arctos;Canada;9;66
Ursus arctos;Mali;8;66
Ursus arctos;Pakistan;5;66
Ursus arctos;Spain;5;66
Ursus arctos;Armenia;4;66
Ursus arctos;China;4;66
Ursus arctos;Italy;2;66
Ursus arctos;Croatia;1;66
Ursus arctos;France;1;66
Ursus arctos;Ireland;1;66
Ursus arctos;Poland;1;66
Ursus arctos;Slovenia;1;66
Ursus thibetanus;China;121;95
Ursus thibetanus;Vietnam;49;95
Ursus thibetanus;India;32;95
Ursus thibetanus;Laos;26;95
Ursus thibetanus;Russia;26;95
Ursus thibetanus;Iran;20;95
Ursus thibetanus;Myanmar;15;95
Ursus thibetanus;Malaysia;14;95
Ursus thibetanus;South Korea;14;95
Ursus thibetanus;Japan;12;95
Ursus thibetanus;Pakistan;12;95
Ursus thibetanus;Thailand;12;95
Ursus thibetanus;New Zealand;11;95
Ursus thibetanus;Bhutan;10;95
Ursus thibetanus;Nepal;9;95
Ursus thibetanus;Hong Kong;4;95
Ursus thibetanus;Taiwan;4;95
Ursus thibetanus;Afghanistan;3;95
Ursus thibetanus;Cambodia;3;95
Ursus thibetanus;Indonesia;3;95
Ursus thibetanus;Australia;2;95
Ursus thibetanus;Austria;2;95
Ursus thibetanus;Bangladesh;2;95
Ursus thibetanus;France;2;95
Ursus thibetanus;Germany;2;95
Ursus thibetanus;Mongolia;2;95
Ursus thibetanus;Brazil;1;95
Ursus thibetanus;Canada;1;95
Ursus thibetanus;Israel;1;95
Ursus thibetanus;Italy;1;95
Ursus thibetanus;Kuwait;1;95
Ursus thibetanus;Namibia;1;95
Ursus thibetanus;North Korea;1;95
Ursus thibetanus;Singapore;1;95
Ursus thibetanus;South Africa;1;95
Ursus thibetanus;Spain;1;95
Ursus thibetanus;Sri Lanka;1;95
Ursus thibetanus;United States;1;95
