scientific_name;GPE;GPE
Anoxypristis cuspidata;Bahamas;1
Anoxypristis cuspidata;CATCHER;1
Anoxypristis cuspidata;CBSMiami;1
Anoxypristis cuspidata;California;1
Anoxypristis cuspidata;Casablanca;1
Anoxypristis cuspidata;Caver;1
Anoxypristis cuspidata;Chicago;1
Anoxypristis cuspidata;Chittagong;1
Anoxypristis cuspidata;Cloyster;1
Anoxypristis cuspidata;Colombia;1
Anoxypristis cuspidata;Costa del Sol Pictured JAWS;1
Anoxypristis cuspidata;Côte D'Ivoire;1
Anoxypristis cuspidata;Devon;1
Anoxypristis cuspidata;Dragonite;1
Anoxypristis cuspidata;Dugtrio;1
Anoxypristis cuspidata;Giovanni;1
Anoxypristis cuspidata;Gyarados;1
Anoxypristis cuspidata;Haulover Beach;1
Anoxypristis cuspidata;Hindenburg;1
Anoxypristis cuspidata;Hitmonchan;1
Anoxypristis cuspidata;Kambul;1
Anoxypristis cuspidata;Kochi;1
Anoxypristis cuspidata;Leicester;1
Anoxypristis cuspidata;London;1
Anoxypristis cuspidata;MEXICO;1
Anoxypristis cuspidata;Machamp;1
Anoxypristis cuspidata;Mackay;1
Anoxypristis cuspidata;Madagascar;1
Anoxypristis cuspidata;Madeira;1
Anoxypristis cuspidata;Manjaji;1
Anoxypristis cuspidata;Mass.;1
Anoxypristis cuspidata;Massachusetts;1
Anoxypristis cuspidata;Mauritania;1
Anoxypristis cuspidata;Montana;1
Anoxypristis cuspidata;Mozambique;1
Anoxypristis cuspidata;New Guinea;1
Anoxypristis cuspidata;New South Wales;1
Anoxypristis cuspidata;Newcastle;1
Anoxypristis cuspidata;Ninetales;1
Anoxypristis cuspidata;Ottawa;1
Anoxypristis cuspidata;Pakistan;1
Anoxypristis cuspidata;Pansage;1
Anoxypristis cuspidata;Pansear;1
Anoxypristis cuspidata;Peru;1
Anoxypristis cuspidata;Poe Beach;1
Anoxypristis cuspidata;Portsmouth;1
Anoxypristis cuspidata;Pristis;1
Anoxypristis cuspidata;Refugio State Beach;1
Anoxypristis cuspidata;Rhydon;1
Anoxypristis cuspidata;Richmond;1
Anoxypristis cuspidata;Rock;1
Anoxypristis cuspidata;Sabah;1
Anoxypristis cuspidata;Sandslash;1
Anoxypristis cuspidata;Scolipede;1
Anoxypristis cuspidata;Sewaddle;1
Anoxypristis cuspidata;Slowbrow;1
Anoxypristis cuspidata;Society Islands;1
Anoxypristis cuspidata;Sphyrna;1
Anoxypristis cuspidata;Switzerland;1
Anoxypristis cuspidata;Tadpole;1
Anoxypristis cuspidata;Taiwan;1
Anoxypristis cuspidata;Thailand;1
Anoxypristis cuspidata;Townsville;1
Anoxypristis cuspidata;Térraba;1
Anoxypristis cuspidata;Térraba-Sierpe;1
Anoxypristis cuspidata;UAE;1
Anoxypristis cuspidata;USA;1
Anoxypristis cuspidata;United States;1
Anoxypristis cuspidata;Venezuela;1
Anoxypristis cuspidata;Victoria;1
Anoxypristis cuspidata;Weezing;1
Anoxypristis cuspidata;West Africa;1
Anoxypristis cuspidata;kampung;1
Anoxypristis cuspidata;megalodones;1
Anoxypristis cuspidata;mumbai;1
Anoxypristis cuspidata;north Queensland;1
Anoxypristis cuspidata;the United Arab Emirates;1
Anoxypristis cuspidata;unusualness;1
Balaena mysticetus;Alaska;18
Balaena mysticetus;Utqiaġvik;12
Balaena mysticetus;Greenland;8
Balaena mysticetus;Canada;6
Balaena mysticetus;Kivalliq;5
Balaena mysticetus;Russia;5
Balaena mysticetus;Kitikmeot;4
Balaena mysticetus;Nunavut;4
Balaena mysticetus;Utqiagvik;4
Balaena mysticetus;Australia;3
Balaena mysticetus;Beaufort;3
Balaena mysticetus;California;3
Balaena mysticetus;Pinta Island;3
Balaena mysticetus;Pond Inlet;3
Balaena mysticetus;US;3
Balaena mysticetus;USA;3
Balaena mysticetus;Yorkshire;3
Balaena mysticetus;Canberra;2
Balaena mysticetus;England;2
Balaena mysticetus;Igloolik;2
Balaena mysticetus;Kaktovik;2
Balaena mysticetus;Old Town;2
Balaena mysticetus;Savoonga;2
Balaena mysticetus;Scarborough;2
Balaena mysticetus;St. Lawrence Island;2
Balaena mysticetus;UK;2
Balaena mysticetus;Yupik;2
Balaena mysticetus;Baffin;1
Balaena mysticetus;Bridlington;1
Balaena mysticetus;China;1
Balaena mysticetus;Finland;1
Balaena mysticetus;Gay Sheffield;1
Balaena mysticetus;Hawaii;1
Balaena mysticetus;Iqaluit;1
Balaena mysticetus;Khabarovsk Region;1
Balaena mysticetus;Kugaaruk;1
Balaena mysticetus;La Jolla;1
Balaena mysticetus;Lawrence Island;1
Balaena mysticetus;Mexico;1
Balaena mysticetus;Naujaat;1
Balaena mysticetus;New Zealand;1
Balaena mysticetus;North York Moors;1
Balaena mysticetus;Pannett Park;1
Balaena mysticetus;Pinta;1
Balaena mysticetus;Point Barrow;1
Balaena mysticetus;Portland;1
Balaena mysticetus;Poundland;1
Balaena mysticetus;Qikiqtaaluk;1
Balaena mysticetus;Rovaniemi;1
Balaena mysticetus;Seattle;1
Balaena mysticetus;South Carolina;1
Balaena mysticetus;Southampton Island;1
Balaena mysticetus;St Mary;1
Balaena mysticetus;St Mary's;1
Balaena mysticetus;Stafford;1
Balaena mysticetus;Tervo;1
Balaena mysticetus;Tyneside;1
Balaena mysticetus;Wales;1
Balaena mysticetus;Washington State;1
Balaena mysticetus;West Greenland;1
Balaena mysticetus;Whitby;1
Balaena mysticetus;the Municipality of Anchorage;1
Balaena mysticetus;the Seychelles Islands;1
Balaena mysticetus;west Greenland;1
Balaena mysticetus;west Yorkshire;1
Balaena mysticetus;wwf.ca/polarbearweek;1
Balaenoptera acutorostrata;Japan;44
Balaenoptera acutorostrata;Iceland;33
Balaenoptera acutorostrata;Australia;17
Balaenoptera acutorostrata;India;15
Balaenoptera acutorostrata;Norway;8
Balaenoptera acutorostrata;Mongabay;7
Balaenoptera acutorostrata;Saguenay;6
Balaenoptera acutorostrata;UK;6
Balaenoptera acutorostrata;mysticetes;6
Balaenoptera acutorostrata;Brazil;5
Balaenoptera acutorostrata;Maine;5
Balaenoptera acutorostrata;Tasmania;5
Balaenoptera acutorostrata;Colombia;4
Balaenoptera acutorostrata;MYBPC1;4
Balaenoptera acutorostrata;Quebec;4
Balaenoptera acutorostrata;Reisafjorden;4
Balaenoptera acutorostrata;Tonga;4
Balaenoptera acutorostrata;Tromso;4
Balaenoptera acutorostrata;Beaufort;3
Balaenoptera acutorostrata;Hvalur;3
Balaenoptera acutorostrata;Kolkata;3
Balaenoptera acutorostrata;London;3
Balaenoptera acutorostrata;New York;3
Balaenoptera acutorostrata;North Gyeongsang Province;3
Balaenoptera acutorostrata;Yeongdeok;3
Balaenoptera acutorostrata;Albany;2
Balaenoptera acutorostrata;America;2
Balaenoptera acutorostrata;Baja;2
Balaenoptera acutorostrata;Bicheno;2
Balaenoptera acutorostrata;Brittany;2
Balaenoptera acutorostrata;California;2
Balaenoptera acutorostrata;Canada;2
Balaenoptera acutorostrata;Denmark;2
Balaenoptera acutorostrata;Icelanders;2
Balaenoptera acutorostrata;Joinville Island;2
Balaenoptera acutorostrata;Mexico;2
Balaenoptera acutorostrata;Midland Beach;2
Balaenoptera acutorostrata;Montauk;2
Balaenoptera acutorostrata;Montreal;2
Balaenoptera acutorostrata;N.Y.;2
Balaenoptera acutorostrata;Pamplona;2
Balaenoptera acutorostrata;Philippines;2
Balaenoptera acutorostrata;Queensland;2
Balaenoptera acutorostrata;San Juanico;2
Balaenoptera acutorostrata;South Carolina;2
Balaenoptera acutorostrata;Staten Island;2
Balaenoptera acutorostrata;Tahiti;2
Balaenoptera acutorostrata;Waitpinga Beach;2
Balaenoptera acutorostrata;Washington;2
Balaenoptera acutorostrata;islanda;2
