Id;Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Scientific Name;Author;Rank;Listing;Party;Listed under;Full note;# Full note;All_DistributionFullNames;All_DistributionISOCodes;NativeDistributionFullNames;Introduced_Distribution;Introduced(?)_Distribution;Reintroduced_Distribution;Extinct_Distribution;Extinct(?)_Distribution;Distribution_Uncertain
3436;Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Vicugna;vicugna;;Vicugna vicugna;(Molina, 1782);SPECIES;I/II;"";Vicugna vicugna;"**I** Except the populations of: Argentina (the populations of the Provinces of Jujuy, Catamarca and Salta, and the semicaptive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan), Chile (populations of the region of Tarapacá and of the region of Arica and Parinacota), Ecuador (the whole population), Peru (the whole population) and the Plurinational State of Bolivia (the whole population), which are included in Appendix II.
**II** Only the populations of Argentina (the populations of the Provinces of Jujuy, Catamarca and Salta, and the semi-captive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan), Chile (populations of the region of Tarapacá and of the region of Arica and Parinacota), Ecuador (the whole population), Peru (the whole population) and the Plurinational State of Bolivia (the whole population); all other populations are included in Appendix I.

For the exclusive purpose of allowing international trade in fibre from vicuñas (Vicugna vicugna) and their derivative products, only if the fibre comes from the shearing of live vicuñas. Trade in products derived from the fibre may only take place in accordance with the following provisions:
a) Any person or entity processing vicuña fibre to manufacture cloth and garments must request authorization from the relevant authorities of the country of origin (Countries of origin: The countries where the species occurs, that is, Argentina, Bolivia, Chile, Ecuador and Peru) to use the ""vicuña country of origin"" wording, mark or logo adopted by the range States of the species that are signatories to the Convention for the Conservation and Management of the Vicuña.
b) Marketed cloth or garments must be marked or identified in accordance with the following provisions:
i) For international trade in cloth made from live-sheared vicuña fibre, whether the cloth was produced within or outside of the range States of the species, the wording, mark or logo must be used so that the country of origin can be identified. The VICUÑA [COUNTRY OF ORIGIN] wording, mark or logo has the format as detailed below:

This wording, mark or logo must appear on the reverse side of the cloth. In addition, the selvages of the cloth must bear the words VICUÑA [COUNTRY OF ORIGIN].
ii) For international trade in garments made from live-sheared vicuña fibre, whether the garments were produced within or outside of the range States of the species, the wording, mark or logo indicated in paragraph b) i) must be used. This wording, mark or logo must appear on a label on the garment itself. If the garments are produced outside of the country of origin, the name of the country where the garment was produced should also be indicated, in addition to the wording, mark or logo referred to in paragraph b) i).
c) For international trade in handicraft products made from live-sheared vicuña fibre produced within the range States of the species, the VICUÑA [COUNTRY OF ORIGIN] - ARTESANÍA wording, mark or logo must be used as detailed below:

d) If live-sheared vicuña fibre from various countries of origin is used for the production of cloth and garments, the wording, mark or logo of each of the countries of origin of the fibre must be indicated, as detailed in paragraphs b) i) and ii).
e) All other specimens shall be deemed to be specimens of species listed in Appendix I and the trade in them shall be regulated accordingly.";"";Argentina,Bolivia (Plurinational State of),Chile,Ecuador,Peru;AR,BO,CL,EC,PE;Argentina,Bolivia (Plurinational State of),Chile,Peru;;;Ecuador;;;
4889;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;calamianensis;;Axis calamianensis;(Heude, 1888);SPECIES;I;"";Axis calamianensis;"";"";Philippines;PH;Philippines;;;;;;
10380;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;kuhlii;;Axis kuhlii;(Temminck, 1836);SPECIES;I;"";Axis kuhlii;"";"";Indonesia;ID;Indonesia;;;;;;
12317;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;annamiticus;Axis porcinus annamiticus;(Heude, 1888);SUBSPECIES;I;"";Axis porcinus annamiticus;"";"";Cambodia,China,Lao People's Democratic Republic,Thailand,Viet Nam;KH,CN,LA,TH,VN;Cambodia,China,Lao People's Democratic Republic,Viet Nam;;;;Thailand;;
3625;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Blastocerus;dichotomus;;Blastocerus dichotomus;(Illiger, 1815);SPECIES;I;"";Blastocerus dichotomus;"";"";Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Peru,Uruguay;AR,BO,BR,PY,PE,UY;Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Peru;;;;Uruguay;;
12225;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;hanglu;Cervus elaphus hanglu;Wagner, 1844;SUBSPECIES;I;"";Cervus elaphus hanglu;"";"";India,Pakistan;IN,PK;India;;;;Pakistan;;
12218;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Dama;dama;mesopotamica;Dama dama mesopotamica;"";SUBSPECIES;I;"";Dama dama mesopotamica;"";"";Iran (Islamic Republic of),Iraq,Israel,Jordan,Lebanon;IR,IQ,IL,JO,LB;Iran (Islamic Republic of),Iraq;;;Israel;Israel,Jordan,Lebanon;;
9206;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;antisensis;;Hippocamelus antisensis;(d'Orbigny, 1834);SPECIES;I;"";Hippocamelus spp.;"";"";Argentina,Bolivia (Plurinational State of),Chile,Ecuador,Peru;AR,BO,CL,EC,PE;Argentina,Bolivia (Plurinational State of),Chile,Ecuador,Peru;;;;;;
10636;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;bisulcus;;Hippocamelus bisulcus;(Molina, 1782);SPECIES;I;"";Hippocamelus spp.;"";"";Argentina,Chile;AR,CL;Argentina,Chile;;;;;;
8941;Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;crinifrons;;Muntiacus crinifrons;(Sclater, 1885);SPECIES;I;"";Muntiacus crinifrons;"";"";China,Myanmar;CN,MM;China,Myanmar;;;;;;
